"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Заказ можно создать с разными вариантами цвета","tests","2026-08-09","passed","2026-08-09","TestCreateOrder","Создание заказа","",""
"","71","Без обязательного поля курьер не создаётся","tests","2026-08-09","passed","2026-08-09","TestCreateCourier","Создание курьера","",""
"","81","При неправильном пароле система возвращает ошибку","tests","2026-08-09","passed","2026-08-09","TestLoginCourier","Логин курьера","",""
"","78","Без обязательного поля курьер не создаётся","tests","2026-08-09","passed","2026-08-09","TestCreateCourier","Создание курьера","",""
"","60185","Для авторизации нужно передать все обязательные поля","tests","2026-08-09","failed","2026-08-09","TestLoginCourier","Логин курьера","",""
"","79","Для авторизации нужно передать все обязательные поля","tests","2026-08-09","passed","2026-08-09","TestLoginCourier","Логин курьера","",""
"","78","Несуществующий курьер не может авторизоваться","tests","2026-08-09","passed","2026-08-09","TestLoginCourier","Логин курьера","",""
"","247","Заказ можно создать с разными вариантами цвета","tests","2026-08-09","passed","2026-08-09","TestCreateOrder","Создание заказа","",""
"","144","При неправильном логине система возвращает ошибку","tests","2026-08-09","passed","2026-08-09","TestLoginCourier","Логин курьера","",""
"","15082","В ответе возвращается список заказов","tests","2026-08-09","passed","2026-08-09","TestGetOrders","Получение списка заказов","",""
"","232","Заказ можно создать с разными вариантами цвета","tests","2026-08-09","passed","2026-08-09","TestCreateOrder","Создание заказа","",""
"","281","Курьера можно успешно создать","tests","2026-08-09","passed","2026-08-09","TestCreateCourier","Создание курьера","",""
"","233","Заказ можно создать с разными вариантами цвета","tests","2026-08-09","passed","2026-08-09","TestCreateOrder","Создание заказа","",""
"","85","Курьер может успешно авторизоваться","tests","2026-08-09","passed","2026-08-09","TestLoginCourier","Логин курьера","",""
"","188","Нельзя создать двух курьеров с одинаковым логином","tests","2026-08-09","passed","2026-08-09","TestCreateCourier","Создание курьера","",""
